hyperparameters_size,5
env_name,MiniGrid-Empty-5x5-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
0,48,0.5589999999999999,15
1,84,0.6759999999999999,17
2,184,0.0,20
3,284,0.0,21
4,384,0.0,22
5,437,0.5229999999999999,24
6,537,0.0,24
7,579,0.622,24
8,638,0.469,24
9,738,0.0,25
10,782,0.604,25
11,882,0.0,28
12,916,0.694,28
13,1016,0.0,28
14,1040,0.784,28
15,1140,0.0,28
16,1240,0.0,28
17,1340,0.0,28
18,1440,0.0,28
19,1516,0.31599999999999995,28
20,1597,0.2709999999999999,28
21,1679,0.262,28
22,1742,0.43299999999999994,28
23,1782,0.6399999999999999,28
24,1882,0.0,28
25,1982,0.0,28
26,2080,0.118,28
27,2114,0.694,28
28,2214,0.0,29
29,2247,0.703,29
30,2335,0.20799999999999996,29
31,2370,0.685,29
32,2443,0.34299999999999997,29
33,2531,0.20799999999999996,29
34,2574,0.613,29
35,2653,0.2889999999999999,29
36,2703,0.55,29
37,2770,0.3969999999999999,29
38,2821,0.5409999999999999,29
39,2882,0.45099999999999996,29
40,2937,0.5049999999999999,29
41,2997,0.45999999999999996,29
42,3031,0.694,29
43,3090,0.469,29
44,3142,0.532,29
45,3189,0.577,29
46,3248,0.469,29
47,3298,0.55,29
48,3348,0.55,29
49,3432,0.244,29
50,3466,0.694,29
51,3542,0.31599999999999995,29
52,3584,0.622,29
53,3641,0.487,29
54,3683,0.622,29
55,3735,0.532,29
56,3800,0.4149999999999999,29
57,3848,0.5680000000000001,29
58,3896,0.5680000000000001,29
59,3940,0.604,29
60,3992,0.532,29
61,4039,0.577,29
62,4082,0.613,29
63,4131,0.5589999999999999,29
64,4176,0.595,29
65,4221,0.595,29
66,4269,0.5680000000000001,29
67,4369,0.0,29
68,4412,0.613,29
69,4497,0.235,29
70,4538,0.631,29
71,4584,0.586,29
72,4624,0.6399999999999999,29
73,4659,0.685,29
74,4710,0.5409999999999999,29
75,4746,0.6759999999999999,29
76,4791,0.595,29
77,4832,0.631,29
78,4874,0.622,29
79,4916,0.622,29
80,4959,0.613,29
81,5000,0.631,29
82,5041,0.631,29
83,5081,0.6399999999999999,29
84,5121,0.6399999999999999,29
85,5161,0.6399999999999999,29
86,5200,0.649,29
87,5240,0.6399999999999999,29
88,5278,0.6579999999999999,29
89,5314,0.6759999999999999,29
90,5351,0.667,29
91,5386,0.685,29
92,5444,0.478,29
93,5476,0.712,29
94,5514,0.6579999999999999,29
95,5550,0.6759999999999999,29
96,5587,0.667,29
97,5624,0.667,29
98,5660,0.6759999999999999,29
99,5695,0.685,29
100,5731,0.6759999999999999,29
101,5766,0.685,29
102,5801,0.685,29
103,5835,0.694,29
104,5872,0.667,29
105,5905,0.703,29
106,5940,0.685,29
107,5973,0.703,29
108,6007,0.694,29
109,6040,0.703,29
110,6073,0.703,29
111,6108,0.685,29
112,6138,0.73,29
113,6173,0.685,29
114,6205,0.712,29
115,6237,0.712,29
116,6267,0.73,29
117,6300,0.703,29
118,6330,0.73,29
119,6361,0.721,29
120,6392,0.721,29
121,6424,0.712,29
122,6454,0.73,29
123,6495,0.631,29
124,6522,0.757,29
125,6556,0.694,29
126,6584,0.748,29
127,6614,0.73,29
128,6643,0.739,29
129,6670,0.757,29
130,6701,0.721,29
131,6730,0.739,29
132,6783,0.5229999999999999,29
133,6803,0.82,29
134,6838,0.685,29
135,6867,0.739,29
136,6895,0.748,29
137,6929,0.694,29
138,6963,0.694,29
139,6993,0.73,29
140,7026,0.703,29
141,7056,0.73,29
142,7087,0.721,29
143,7115,0.748,29
144,7145,0.73,29
145,7173,0.748,29
146,7203,0.73,29
147,7231,0.748,29
148,7258,0.757,29
149,7286,0.748,29
150,7311,0.775,29
151,7338,0.757,29
152,7357,0.829,29
153,7382,0.775,29
154,7407,0.775,29
155,7432,0.775,29
156,7457,0.775,29
157,7485,0.748,29
158,7508,0.7929999999999999,29
159,7531,0.7929999999999999,29
160,7554,0.7929999999999999,29
161,7577,0.7929999999999999,29
162,7600,0.7929999999999999,29
163,7623,0.7929999999999999,29
164,7645,0.802,29
165,7667,0.802,29
